##### Assault Armies

@assault_tier_1_damage = 1
@assault_tier_1_health = 1
@assault_tier_1_morale = 1
@assault_tier_1_morale_damage = 1
@assault_tier_1_build_time = 100
@assault_tier_1_upkeep = 1
@assault_tier_1_cost = 40

@assault_tier_2_damage = 2.5
@assault_tier_2_health = 2.5
@assault_tier_2_morale = 2.5
@assault_tier_2_morale_damage = 1.5
@assault_tier_2_build_time = 125
@assault_tier_2_upkeep = 1.5
@assault_tier_2_cost = 80

@assault_tier_3_damage = 5
@assault_tier_3_health = 5
@assault_tier_3_morale = 5
@assault_tier_3_morale_damage = 2
@assault_tier_3_build_time = 150
@assault_tier_3_upkeep = 2
@assault_tier_3_cost = 120

##### Machine Empire Assault Armies

@machine_assault_tier_1_damage = 1
@machine_assault_tier_1_health = 1
@machine_assault_tier_1_morale = 2
@machine_assault_tier_1_morale_damage = 1
@machine_assault_tier_1_build_time = 100
@machine_assault_tier_1_upkeep = 1
@machine_assault_tier_1_cost = 40

@machine_assault_tier_2_damage = 2.5
@machine_assault_tier_2_health = 2.5
@machine_assault_tier_2_morale = 5
@machine_assault_tier_2_morale_damage = 1
@machine_assault_tier_2_build_time = 125
@machine_assault_tier_2_upkeep = 1.5
@machine_assault_tier_2_cost = 80

@machine_assault_tier_3_damage = 5
@machine_assault_tier_3_health = 5
@machine_assault_tier_3_morale = 10
@machine_assault_tier_3_morale_damage = 1
@machine_assault_tier_3_build_time = 150
@machine_assault_tier_3_upkeep = 2
@machine_assault_tier_3_cost = 120

@warform_damage = 10
@warform_health = 10
@warform_morale = 15
@warform_morale_damage = 1.5
@warform_build_time = 250
@warform_upkeep = 4
@warform_cost = 200

##### Defensive Armies

@defensive_tier_1_damage = 0.5
@defensive_tier_1_health = 1.5
@defensive_tier_1_morale = 1
@defensive_tier_1_morale_damage = 1
@defensive_tier_1_build_time = 50
@defensive_tier_1_upkeep = 0.25 
@defensive_tier_1_cost = 20 

@defensive_tier_2_damage = 2
@defensive_tier_2_health = 3
@defensive_tier_2_morale = 2.5
@defensive_tier_2_morale_damage = 1.5
@defensive_tier_2_build_time = 62.5 
@defensive_tier_2_upkeep = 0.375
@defensive_tier_2_cost = 40

@defensive_tier_3_damage = 4.5
@defensive_tier_3_health = 5.5
@defensive_tier_3_morale = 5
@defensive_tier_3_morale_damage = 2
@defensive_tier_3_build_time = 75
@defensive_tier_3_upkeep = 0.50
@defensive_tier_3_cost = 60

##### Machine Empire defensive Armies

@machine_defensive_tier_1_damage = 0.5
@machine_defensive_tier_1_health = 1.5
@machine_defensive_tier_1_morale = 2
@machine_defensive_tier_1_morale_damage = 1
@machine_defensive_tier_1_build_time = 50
@machine_defensive_tier_1_upkeep = 0.25 
@machine_defensive_tier_1_cost = 20 

@machine_defensive_tier_2_damage = 2
