
[22:44:34][modifier.cpp:370]: [0] Tag: pop_happiness, Categories: 2
[22:44:34][modifier.cpp:370]: [1] Tag: pop_consumer_goods_mult, Categories: 2f
[22:44:34][modifier.cpp:370]: [2] Tag: pop_consumer_goods_add, Categories: 2
[22:44:34][modifier.cpp:370]: [3] Tag: biological_pop_happiness, Categories: 2
[22:44:34][modifier.cpp:370]: [4] Tag: pop_growth_speed, Categories: 2
[22:44:34][modifier.cpp:370]: [5] Tag: pop_growth_speed_reduction, Categories: 2
[22:44:34][modifier.cpp:370]: [6] Tag: pop_growth_req, Categories: 2
[22:44:34][modifier.cpp:370]: [7] Tag: pop_food_req_mult, Categories: 2
[22:44:34][modifier.cpp:370]: [8] Tag: pop_food_req, Categories: 2
[22:44:34][modifier.cpp:370]: [9] Tag: pop_environment_tolerance, Categories: 131072
[22:44:34][modifier.cpp:370]: [10] Tag: pop_government_ethic_attraction, Categories: 2
[22:44:34][modifier.cpp:370]: [11] Tag: pop_ethics_shift_speed_mult, Categories: 2
[22:44:34][modifier.cpp:370]: [12] Tag: pop_migration_speed, Categories: 2
[22:44:34][modifier.cpp:370]: [13] Tag: pop_other_species_happiness, Categories: 2
[22:44:34][modifier.cpp:370]: [14] Tag: pop_citizen_happiness, Categories: 2
[22:44:34][modifier.cpp:370]: [15] Tag: pop_owner_happiness, Categories: 2
[22:44:34][modifier.cpp:370]: [16] Tag: pop_other_species_owner_happiness, Categories: 2
[22:44:34][modifier.cpp:370]: [17] Tag: pop_food_add, Categories: 32768
[22:44:34][modifier.cpp:370]: [18] Tag: pop_food_mult, Categories: 32768
[22:44:34][modifier.cpp:370]: [19] Tag: pop_minerals_add, Categories: 32768
[22:44:34][modifier.cpp:370]: [20] Tag: pop_minerals_mult, Categories: 32768
[22:44:34][modifier.cpp:370]: [21] Tag: pop_energy_add, Categories: 32768
[22:44:34][modifier.cpp:370]: [22] Tag: pop_energy_mult, Categories: 32768
[22:44:34][modifier.cpp:370]: [23] Tag: pop_eff_wo_slaves, Categories: 32768
[22:44:34][modifier.cpp:370]: [24] Tag: pop_processing_output, Categories: 32768
