utility_component_template,,,,,,,,,,,,,,
key,size,icon,icon_frame,power,cost,sensor_range,component_set,upgrades_to,class_restriction,ship_modifier,ai_weight,prerequisites,size_restriction,
"SCIENCE_SHIP_SENSOR_1",aux,"GFX_ship_part_sensor_1",1,-15,0,15,"ship_sensor_components","SCIENCE_SHIP_SENSOR_2",{ shipclass_science_ship },{ science_ship_survey_speed = @science_ship_sensor_survey_bonus_tier_1 },{ weight = @weight_1 },,,
"SCIENCE_SHIP_SENSOR_2",aux,"GFX_ship_part_sensor_2",1,-30,10,30,"ship_sensor_components","SCIENCE_SHIP_SENSOR_3",{ shipclass_science_ship },{ science_ship_survey_speed = @science_ship_sensor_survey_bonus_tier_2 },{ weight = @weight_2 },{ "tech_sensors_2" },,
"SCIENCE_SHIP_SENSOR_3",aux,"GFX_ship_part_sensor_3",1,-45,20,45,"ship_sensor_components","SCIENCE_SHIP_SENSOR_4",{ shipclass_science_ship },{ science_ship_survey_speed = @science_ship_sensor_survey_bonus_tier_3 },{ weight = @weight_3 },{ "tech_sensors_3" },,
"SCIENCE_SHIP_SENSOR_4",aux,"GFX_ship_part_sensor_4",1,-60,30,60,"ship_sensor_components","SCIENCE_SHIP_SENSOR_5",{ shipclass_science_ship },{ science_ship_survey_speed = @science_ship_sensor_survey_bonus_tier_4 },{ weight = @weight_4 },{ "tech_sensors_4" },,
"SCIENCE_SHIP_SENSOR_5",aux,"GFX_ship_part_sensor_5",1,-75,40,75,"ship_sensor_components",,{ shipclass_science_ship },{ science_ship_survey_speed = @science_ship_sensor_survey_bonus_tier_5 },{ weight = @weight_5 },{ "tech_sensors_5" },,
"SHIP_SENSOR_1",aux,"GFX_ship_part_sensor_1",1,-10,5,10,"ship_sensor_components","SHIP_SENSOR_2",{ shipclass_military },{ ship_tracking_add = @military_ship_sensor_tracking_bonus_tier_1 },{ weight = @weight_1 },,{ corvette corvetteNSC },
"SHIP_SENSOR_2",aux,"GFX_ship_part_sensor_2",1,-15,10,20,"ship_sensor_components","SHIP_SENSOR_3",{ shipclass_military },{ ship_tracking_add = @military_ship_sensor_tracking_bonus_tier_2 },{ weight = @weight_2 },{ "tech_sensors_2" },{ corvette corvetteNSC },
"SHIP_SENSOR_3",aux,"GFX_ship_part_sensor_3",1,-20,15,30,"ship_sensor_components","SHIP_SENSOR_4",{ shipclass_military },{ ship_tracking_add = @military_ship_sensor_tracking_bonus_tier_3 },{ weight = @weight_3 },{ "tech_sensors_3" },{ corvette corvetteNSC },
"SHIP_SENSOR_4",aux,"GFX_ship_part_sensor_4",1,-25,20,40,"ship_sensor_components","SHIP_SENSOR_5",{ shipclass_military },{ ship_tracking_add = @military_ship_sensor_tracking_bonus_tier_4 },{ weight = @weight_4 },{ "tech_sensors_4" },{ corvette corvetteNSC },
"SHIP_SENSOR_5",aux,"GFX_ship_part_sensor_5",1,-30,25,50,"ship_sensor_components",,{ shipclass_military },{ ship_tracking_add = @military_ship_sensor_tracking_bonus_tier_5 },{ weight = @weight_5 },{ "tech_sensors_5" },{ corvette corvetteNSC },
"MEDIUM_SMALL_SHIP_SENSOR_1",aux,"GFX_ship_part_sensor_1",1,-20,10,10,"ship_sensor_components","MEDIUM_SMALL_SHIP_SENSOR_2",{ shipclass_military },{ ship_tracking_add = @military_ship_sensor_tracking_bonus_tier_1 },{ weight = @weight_1 },,{ destroyer destroyerNSC Escort Frigate },
"MEDIUM_SMALL_SHIP_SENSOR_2",aux,"GFX_ship_part_sensor_2",1,-30,15,20,"ship_sensor_components","MEDIUM_SMALL_SHIP_SENSOR_3",{ shipclass_military },{ ship_tracking_add = @military_ship_sensor_tracking_bonus_tier_2 },{ weight = @weight_2 },{ "tech_sensors_2" },{ destroyer destroyerNSC Escort Frigate },
"MEDIUM_SMALL_SHIP_SENSOR_3",aux,"GFX_ship_part_sensor_3",1,-40,20,30,"ship_sensor_components","MEDIUM_SMALL_SHIP_SENSOR_4",{ shipclass_military },{ ship_tracking_add = @military_ship_sensor_tracking_bonus_tier_3 },{ weight = @weight_3 },{ "tech_sensors_3" },{ destroyer destroyerNSC Escort Frigate },
"MEDIUM_SMALL_SHIP_SENSOR_4",aux,"GFX_ship_part_sensor_4",1,-50,25,40,"ship_sensor_components","MEDIUM_SMALL_SHIP_SENSOR_5",{ shipclass_military },{ ship_tracking_add = @military_ship_sensor_tracking_bonus_tier_4 },{ weight = @weight_4 },{ "tech_sensors_4" },{ destroyer destroyerNSC Escort Frigate },
