utility_component_template,,,,,,,,,,,,
key,size,icon,icon_frame,power,cost,modifier,,prerequisites,component_set,upgrades_to,can_recharge_shield,
,,,,,,ship_shield_hp_add,ship_shield_regen_add,,,,,
"SMALL_SHIELD_1",small,"GFX_ship_part_shield_1",1,-10,3.5,50,0.5,{ "tech_shields_1" },"SHIELD_1","SMALL_SHIELD_2",,
"MEDIUM_SHIELD_1",medium,"GFX_ship_part_shield_1",1,-20,5,100,1,{ "tech_shields_1" },"SHIELD_1","MEDIUM_SHIELD_2",,
"LARGE_SHIELD_1",large,"GFX_ship_part_shield_1",1,-40,10,200,2,{ "tech_shields_1" },"SHIELD_1","LARGE_SHIELD_2",,
"SMALL_SHIELD_2",small,"GFX_ship_part_shield_2",1,-20,5,100,1,{ "tech_shields_2" },"SHIELD_2","SMALL_SHIELD_3",,
"MEDIUM_SHIELD_2",medium,"GFX_ship_part_shield_2",1,-40,10,200,2,{ "tech_shields_2" },"SHIELD_2","MEDIUM_SHIELD_3",,
"LARGE_SHIELD_2",large,"GFX_ship_part_shield_2",1,-90,20,400,4,{ "tech_shields_2" },"SHIELD_2","LARGE_SHIELD_3",,
"SMALL_SHIELD_3",small,"GFX_ship_part_shield_3",1,-30,7.5,150,1.5,{ "tech_shields_3" },"SHIELD_3","SMALL_SHIELD_4",,
"MEDIUM_SHIELD_3",medium,"GFX_ship_part_shield_3",1,-60,15,300,3,{ "tech_shields_3" },"SHIELD_3","MEDIUM_SHIELD_4",,
"LARGE_SHIELD_3",large,"GFX_ship_part_shield_3",1,-120,30,600,6,{ "tech_shields_3" },"SHIELD_3","LARGE_SHIELD_4",,
"SMALL_SHIELD_4",small,"GFX_ship_part_shield_4",1,-40,10,200,2,{ "tech_shields_4" },"SHIELD_4","SMALL_SHIELD_5",,
"MEDIUM_SHIELD_4",medium,"GFX_ship_part_shield_4",1,-80,20,400,4,{ "tech_shields_4" },"SHIELD_4","MEDIUM_SHIELD_5",,
"LARGE_SHIELD_4",large,"GFX_ship_part_shield_4",1,-160,40,800,8,{ "tech_shields_4" },"SHIELD_4","LARGE_SHIELD_5",,
"SMALL_SHIELD_5",small,"GFX_ship_part_shield_5",1,-50,12.5,250,2.5,{ "tech_shields_5" },"SHIELD_5","SMALL_ENIGMATIC_SHIELD",,
"MEDIUM_SHIELD_5",medium,"GFX_ship_part_shield_5",1,-100,25,500,5,{ "tech_shields_5" },"SHIELD_5","MEDIUM_ENIGMATIC_SHIELD",,
"LARGE_SHIELD_5",large,"GFX_ship_part_shield_5",1,-200,50,1000,10,{ "tech_shields_5" },"SHIELD_5","LARGE_ENIGMATIC_SHIELD",,
"SMALL_ENIGMATIC_SHIELD",small,"GFX_ship_part_enigmatic_shield",1,-60,15,300,3,{ "tech_enigmatic_deflector" },"ENIGMATIC_SHIELD",,,
"MEDIUM_ENIGMATIC_SHIELD",medium,"GFX_ship_part_enigmatic_shield",1,-120,30,600,6,{ "tech_enigmatic_deflector" },"ENIGMATIC_SHIELD",,,
"LARGE_ENIGMATIC_SHIELD",large,"GFX_ship_part_enigmatic_shield",1,-240,60,1200,12,{ "tech_enigmatic_deflector" },"ENIGMATIC_SHIELD",,,
"SMALL_PSI_SHIELD",small,"GFX_ship_part_psi_shield",1,-60,15,250,2.5,{ "tech_psionic_shield" },"PSI_SHIELD",,yes,
"MEDIUM_PSI_SHIELD",medium,"GFX_ship_part_psi_shield",1,-120,30,500,5,{ "tech_psionic_shield" },"PSI_SHIELD",,yes,
"LARGE_PSI_SHIELD",large,"GFX_ship_part_psi_shield",1,-240,60,1000,10,{ "tech_psionic_shield" },"PSI_SHIELD",,yes,
