utility_component_template,,,,,,,,,,,,,,
key,size,icon,icon_frame,power,cost,component_set,upgrades_to,class_restriction,ship_modifier,,ai_weight,prerequisites,size_restriction,
,,,,,,,,,ship_evasion_add,ship_speed_mult,,,,
"SCIENCE_SHIP_THRUSTER_1",aux,"GFX_ship_part_thruster_1",1,-15,0,"thruster_components","SCIENCE_SHIP_THRUSTER_2",{ shipclass_science_ship },0,,{ weight = @weight_1 },,,
"SCIENCE_SHIP_THRUSTER_2",aux,"GFX_ship_part_thruster_2",1,-30,10,"thruster_components","SCIENCE_SHIP_THRUSTER_3",{ shipclass_science_ship },0.15,0.25,{ weight = @weight_2 },{ "tech_thrusters_2" },,
"SCIENCE_SHIP_THRUSTER_3",aux,"GFX_ship_part_thruster_3",1,-45,20,"thruster_components","SCIENCE_SHIP_THRUSTER_4",{ shipclass_science_ship },0.3,0.5,{ weight = @weight_3 },{ "tech_thrusters_3" },,
"SCIENCE_SHIP_THRUSTER_4",aux,"GFX_ship_part_thruster_4",1,-60,30,"thruster_components","SCIENCE_SHIP_THRUSTER_5",{ shipclass_science_ship },0.45,0.75,{ weight = @weight_4 },{ "tech_thrusters_4" },,
"SCIENCE_SHIP_THRUSTER_5",aux,"GFX_ship_part_thruster_5",1,-75,40,"thruster_components",,{ shipclass_science_ship },0.6,1,{ weight = @weight_5 },{ "tech_thrusters_5" },,
"SHIP_THRUSTER_1",aux,"GFX_ship_part_thruster_1",1,-15,5,"thruster_components","SHIP_THRUSTER_2",{ shipclass_military },10,,{ weight = @weight_1 },,{ corvette corvetteNSC },
"SHIP_THRUSTER_2",aux,"GFX_ship_part_thruster_2",1,-20,10,"thruster_components","SHIP_THRUSTER_3",{ shipclass_military },20,0.25,{ weight = @weight_2 },{ "tech_thrusters_2" },{ corvette corvetteNSC },
"SHIP_THRUSTER_3",aux,"GFX_ship_part_thruster_3",1,-25,15,"thruster_components","SHIP_THRUSTER_4",{ shipclass_military },30,0.5,{ weight = @weight_3 },{ "tech_thrusters_3" },{ corvette corvetteNSC },
"SHIP_THRUSTER_4",aux,"GFX_ship_part_thruster_4",1,-30,20,"thruster_components","SHIP_THRUSTER_5",{ shipclass_military },40,0.75,{ weight = @weight_4 },{ "tech_thrusters_4" },{ corvette corvetteNSC },
"SHIP_THRUSTER_5",aux,"GFX_ship_part_thruster_5",1,-35,25,"thruster_components",,{ shipclass_military },50,1,{ weight = @weight_5 },{ "tech_thrusters_5" },{ corvette corvetteNSC },
"MEDIUM_SMALL_SHIP_THRUSTER_1",aux,"GFX_ship_part_thruster_1",1,-30,10,"thruster_components","MEDIUM_SMALL_SHIP_THRUSTER_2",{ shipclass_military },10,,{ weight = @weight_1 },,{ destroyer destroyerNSC Escort Frigate },
"MEDIUM_SMALL_SHIP_THRUSTER_2",aux,"GFX_ship_part_thruster_2",1,-40,15,"thruster_components","MEDIUM_SMALL_SHIP_THRUSTER_3",{ shipclass_military },20,0.25,{ weight = @weight_2 },{ "tech_thrusters_2" },{ destroyer destroyerNSC Escort Frigate },
"MEDIUM_SMALL_SHIP_THRUSTER_3",aux,"GFX_ship_part_thruster_3",1,-50,20,"thruster_components","MEDIUM_SMALL_SHIP_THRUSTER_4",{ shipclass_military },30,0.5,{ weight = @weight_3 },{ "tech_thrusters_3" },{ destroyer destroyerNSC Escort Frigate },
"MEDIUM_SMALL_SHIP_THRUSTER_4",aux,"GFX_ship_part_thruster_4",1,-60,25,"thruster_components","MEDIUM_SMALL_SHIP_THRUSTER_5",{ shipclass_military },40,0.75,{ weight = @weight_4 },{ "tech_thrusters_4" },{ destroyer destroyerNSC Escort Frigate },
"MEDIUM_SMALL_SHIP_THRUSTER_5",aux,"GFX_ship_part_thruster_5",1,-70,30,"thruster_components",,{ shipclass_military },50,1,{ weight = @weight_5 },{ "tech_thrusters_5" },{ destroyer destroyerNSC Escort Frigate },
"MEDIUM_LARGE_SHIP_THRUSTER_1",aux,"GFX_ship_part_thruster_1",1,-45,15,"thruster_components","MEDIUM_LARGE_SHIP_THRUSTER_2",{ shipclass_military },10,,{ weight = @weight_1 },,{ cruiser cruiserNSC supportship LightCarrier Light_Carrier StrikeCruiser facruiser Battlecruiser rs_battlecruiser rs_support_cruiser rs_ea_cruiser ConstructionCruiser ScienceCruiser },
"MEDIUM_LARGE_SHIP_THRUSTER_2",aux,"GFX_ship_part_thruster_2",1,-60,20,"thruster_components","MEDIUM_LARGE_SHIP_THRUSTER_3",{ shipclass_military },20,0.25,{ weight = @weight_2 },{ "tech_thrusters_2" },{ cruiser cruiserNSC supportship LightCarrier Light_Carrier StrikeCruiser facruiser Battlecruiser rs_battlecruiser rs_support_cruiser rs_ea_cruiser ConstructionCruiser ScienceCruiser },
"MEDIUM_LARGE_SHIP_THRUSTER_3",aux,"GFX_ship_part_thruster_3",1,-75,25,"thruster_components","MEDIUM_LARGE_SHIP_THRUSTER_4",{ shipclass_military },30,0.5,{ weight = @weight_3 },{ "tech_thrusters_3" },{ cruiser cruiserNSC supportship LightCarrier Light_Carrier StrikeCruiser facruiser Battlecruiser rs_battlecruiser rs_support_cruiser rs_ea_cruiser ConstructionCruiser ScienceCruiser },
"MEDIUM_LARGE_SHIP_THRUSTER_4",aux,"GFX_ship_part_thruster_4",1,-90,30,"thruster_components","MEDIUM_LARGE_SHIP_THRUSTER_5",{ shipclass_military },40,0.75,{ weight = @weight_4 },{ "tech_thrusters_4" },{ cruiser cruiserNSC supportship LightCarrier Light_Carrier StrikeCruiser facruiser Battlecruiser rs_battlecruiser rs_support_cruiser rs_ea_cruiser ConstructionCruiser ScienceCruiser },
"MEDIUM_LARGE_SHIP_THRUSTER_5",aux,"GFX_ship_part_thruster_5",1,-105,35,"thruster_components",,{ shipclass_military },50,1,{ weight = @weight_5 },{ "tech_thrusters_5" },{ cruiser cruiserNSC supportship LightCarrier Light_Carrier StrikeCruiser facruiser Battlecruiser rs_battlecruiser rs_support_cruiser rs_ea_cruiser ConstructionCruiser ScienceCruiser },
"LARGE_SHIP_THRUSTER_1",aux,"GFX_ship_part_thruster_1",1,-60,20,"thruster_components","LARGE_SHIP_THRUSTER_2",{ shipclass_military },10,,{ weight = @weight_1 },,{ battleship battleshipNSC Carrier SCX_Carrier },
