utility_component_template,,,,,,,,,,,,,,
key,size,icon,icon_frame,power,cost,armor_value,component_set,upgrades_to,class_restriction,ship_modifier,ai_weight,prerequisites,size_restriction,
"SCIENCE_SHIP_ARMOR_1",aux,"GFX_ship_part_armor_1",1,-15,0,15,"special_components","SCIENCE_SHIP_ARMOR_2",{ shipclass_science_ship },{ science_ship_survey_speed = @science_ship_armor_hp_bonus_tier_1 },{ weight = @weight_1 },,,
"SCIENCE_SHIP_ARMOR_2",aux,"GFX_ship_part_armor_2",1,-30,10,30,"special_components","SCIENCE_SHIP_ARMOR_3",{ shipclass_science_ship },{ science_ship_survey_speed = @science_ship_armor_hp_bonus_tier_2 },{ weight = @weight_2 },{ "tech_armor_2" },,
"SCIENCE_SHIP_ARMOR_3",aux,"GFX_ship_part_armor_3",1,-45,20,45,"special_components","SCIENCE_SHIP_ARMOR_4",{ shipclass_science_ship },{ science_ship_survey_speed = @science_ship_armor_hp_bonus_tier_3 },{ weight = @weight_3 },{ "tech_armor_3" },,
"SCIENCE_SHIP_ARMOR_4",aux,"GFX_ship_part_armor_4",1,-60,30,60,"special_components","SCIENCE_SHIP_ARMOR_5",{ shipclass_science_ship },{ science_ship_survey_speed = @science_ship_armor_hp_bonus_tier_4 },{ weight = @weight_4 },{ "tech_armor_4" },,
"SCIENCE_SHIP_ARMOR_5",aux,"GFX_ship_part_armor_5",1,-75,40,75,"special_components",,{ shipclass_science_ship },{ science_ship_survey_speed = @science_ship_armor_hp_bonus_tier_5 },{ weight = @weight_5 },{ "tech_armor_5" },,
"SHIP_ARMOR_1",aux,"GFX_ship_part_armor_1",1,-10,5,10,"special_components","SHIP_ARMOR_2",{ shipclass_military },{ ship_hitpoints_add = @military_ship_armor_armor_hp_bonus_tier_1 },{ weight = @weight_1 },,{ corvette corvetteNSC },
"SHIP_ARMOR_2",aux,"GFX_ship_part_armor_2",1,-15,10,20,"special_components","SHIP_ARMOR_3",{ shipclass_military },{ ship_hitpoints_add = @military_ship_armor_armor_hp_bonus_tier_2 },{ weight = @weight_2 },{ "tech_armor_2" },{ corvette corvetteNSC },
"SHIP_ARMOR_3",aux,"GFX_ship_part_armor_3",1,-20,15,30,"special_components","SHIP_ARMOR_4",{ shipclass_military },{ ship_hitpoints_add = @military_ship_armor_armor_hp_bonus_tier_3 },{ weight = @weight_3 },{ "tech_armor_3" },{ corvette corvetteNSC },
"SHIP_ARMOR_4",aux,"GFX_ship_part_armor_4",1,-25,20,40,"special_components","SHIP_ARMOR_5",{ shipclass_military },{ ship_hitpoints_add = @military_ship_armor_armor_hp_bonus_tier_4 },{ weight = @weight_4 },{ "tech_armor_4" },{ corvette corvetteNSC },
"SHIP_ARMOR_5",aux,"GFX_ship_part_armor_5",1,-30,25,50,"special_components",,{ shipclass_military },{ ship_hitpoints_add = @military_ship_armor_armor_hp_bonus_tier_5 },{ weight = @weight_5 },{ "tech_armor_5" },{ corvette corvetteNSC },
"MEDIUM_SMALL_SHIP_ARMOR_1",aux,"GFX_ship_part_armor_1",1,-20,10,10,"special_components","MEDIUM_SMALL_SHIP_ARMOR_2",{ shipclass_military },{ ship_hitpoints_add = @military_ship_armor_armor_hp_bonus_tier_1 },{ weight = @weight_1 },,{ destroyer destroyerNSC Escort Frigate },
"MEDIUM_SMALL_SHIP_ARMOR_2",aux,"GFX_ship_part_armor_2",1,-30,15,20,"special_components","MEDIUM_SMALL_SHIP_ARMOR_3",{ shipclass_military },{ ship_hitpoints_add = @military_ship_armor_armor_hp_bonus_tier_2 },{ weight = @weight_2 },{ "tech_armor_2" },{ destroyer destroyerNSC Escort Frigate },
"MEDIUM_SMALL_SHIP_ARMOR_3",aux,"GFX_ship_part_armor_3",1,-40,20,30,"special_components","MEDIUM_SMALL_SHIP_ARMOR_4",{ shipclass_military },{ ship_hitpoints_add = @military_ship_armor_armor_hp_bonus_tier_3 },{ weight = @weight_3 },{ "tech_armor_3" },{ destroyer destroyerNSC Escort Frigate },
