module_economic_spaceport_module_level_2  economic_spaceport_module_level_2 
module_economic_spaceport_module_level_3  economic_spaceport_module_level_3 
module_economic_spaceport_module_level_4  economic_spaceport_module_level_4 
module_economic_spaceport_module_level_5  economic_spaceport_module_level_5 
module_economic_spaceport_module_level_6  economic_spaceport_module_level_6 
module_economic_spaceport_module_level_7  economic_spaceport_module_level_7 
module_economic_spaceport_module_level_8  economic_spaceport_module_level_8 
module_economic_spaceport_module_level_9  economic_spaceport_module_level_9 
module_commercial_terminal_1  commercial_terminal_1 
module_commercial_terminal_2  commercial_terminal_2 
module_commercial_terminal_3  commercial_terminal_3 
module_micro_gravity_menufactories_1  micro_gravity_menufactories_1 
module_micro_gravity_menufactories_2  micro_gravity_menufactories_2 
module_micro_gravity_menufactories_3  micro_gravity_menufactories_3 
module_cryogenic_storage_facility_1  cryogenic_storage_facility_1 
module_cryogenic_storage_facility_2  cryogenic_storage_facility_2 
module_cryogenic_storage_facility_3  cryogenic_storage_facility_3 
module_cryogenic_storage_facility_1  cryogenic_storage_facility_1 
module_cryogenic_storage_facility_2  cryogenic_storage_facility_2 
module_cryogenic_storage_facility_3  cryogenic_storage_facility_3 
module_robotics_facility_1  robotics_facility_1 
module_robotics_facility_2  robotics_facility_2 
module_robotics_facility_3  robotics_facility_3 
module_orbital_lab_complex_1  orbital_lab_complex_1 
module_orbital_lab_complex_2  orbital_lab_complex_2 
module_orbital_lab_complex_3  orbital_lab_complex_3 
module_solar_power_network_regular  solar_power_network_regular 
module_solar_power_network_augmented  solar_power_network_augmented 
module_hydroponic_farms_regular  hydroponic_farms_regular 
module_hydroponic_farms_augmented  hydroponic_farms_augmented 
module_orbital_refinery_regular  orbital_refinery_regular 
module_orbital_refinery_augmented  orbital_refinery_augmented 
module_fortress_spaceport_module_level_2  fortress_spaceport_module_level_2 
module_fortress_spaceport_module_level_3  fortress_spaceport_module_level_3 
module_fortress_spaceport_module_level_4  fortress_spaceport_module_level_4 
module_fortress_spaceport_module_level_5  fortress_spaceport_module_level_5 
module_fortress_spaceport_module_level_6  fortress_spaceport_module_level_6 
module_fortress_spaceport_module_level_7  fortress_spaceport_module_level_7 
module_fortress_spaceport_module_level_8  fortress_spaceport_module_level_8 
module_fortress_spaceport_module_level_9  fortress_spaceport_module_level_9 
module_stardock_shipyard_module_level_2  stardock_shipyard_module_level_2 
module_stardock_shipyard_module_level_3  stardock_shipyard_module_level_3 
module_stardock_shipyard_module_level_4  stardock_shipyard_module_level_4 
module_stardock_shipyard_module_level_5  stardock_shipyard_module_level_5 
module_stardock_shipyard_module_level_6  stardock_shipyard_module_level_6 
module_stardock_shipyard_module_level_7  stardock_shipyard_module_level_7 
module_stardock_shipyard_module_level_8  stardock_shipyard_module_level_8 
module_stardock_shipyard_module_level_9  stardock_shipyard_module_level_9 
module_civilian_assembly_yards_regular  civilian_assembly_yards_regular 
module_corvette_assembly_yards_regular  corvette_assembly_yards_regular 
module_destroyer_assembly_yards_regular  destroyer_assembly_yards_regular 
module_cruiser_assembly_yards_regular  cruiser_assembly_yards_regular 
module_battleship_assembly_yards_regular  battleship_assembly_yards_regular 
module_dreadnought_assembly_yards_regular  dreadnought_assembly_yards_regular 
module_civilian_assembly_yards_augmented  civilian_assembly_yards_augmented 
module_corvette_assembly_yards_augmented  corvette_assembly_yards_augmented 
module_destroyer_assembly_yards_augmented  destroyer_assembly_yards_augmented 
module_cruiser_assembly_yards_augmented  cruiser_assembly_yards_augmented 
module_battleship_assembly_yards_augmented  battleship_assembly_yards_augmented 
module_dreadnought_assembly_yards_augmented  dreadnought_assembly_yards_augmented 
module_engineering_bay_1  engineering_bay_1 
module_engineering_bay_2  engineering_bay_2 
module_engineering_bay_3  engineering_bay_3 
module_orbital_fleet_support_1  orbital_fleet_support_1 
module_orbital_fleet_support_2  orbital_fleet_support_2 
module_orbital_fleet_support_3  orbital_fleet_support_3 
module_spaceport_module_advanced_weapons_manufactory_1  spaceport_module_advanced_weapons_manufactory_1 
module_spaceport_module_advanced_weapons_manufactory_2  spaceport_module_advanced_weapons_manufactory_2 
module_spaceport_module_advanced_weapons_manufactory_3  spaceport_module_advanced_weapons_manufactory_3 
